address,block_date,project,blockchain,transaction_type,loan_type,symbol,daily_count,daily_volume_usd
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,repay,,crvUSD,1,-10631.98
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,borrow,variable,USDT,1,234048.97
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,borrow,variable,crvUSD,1,10631.98
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,borrow,variable,USDC,1,724176.84
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,borrow,variable,GHO,1,10754.79
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,repay,,GHO,1,-10754.79
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,repay,,wstETH,1,-63596.75
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,borrow,variable,wstETH,1,63596.75
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,repay,,USDC,1,-724176.84
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-23,aave,ethereum,repay,,USDT,1,-234048.97
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-22,aave,ethereum,repay,,wstETH,2,-186923.09
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-22,aave,ethereum,borrow,variable,crvUSD,1,6057.14
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-22,aave,ethereum,borrow,variable,osETH,1,292.59
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-22,aave,ethereum,repay,,crvUSD,1,-6057.14
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-22,aave,ethereum,repay,,GHO,1,-11583.64
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-22,aave,ethereum,borrow,variable,USDT,3,5012359.26
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-22,aave,ethereum,borrow,variable,USDC,7,2447028.26
