address,block_date,project,blockchain,daily_swaps,daily_volume_usd,tokens_bought,tokens_sold,avg_trade_size
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,alienbase,base,1,23.86,1,1,23.86
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,aerodrome,base,114,35116.72,19,19,308.04
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,uniswap,arbitrum,11,14928.5,3,4,1357.14
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,pancakeswap,arbitrum,3,525.32,2,2,175.11
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,sushiswap,ethereum,51,5310.64,11,11,104.13
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,solidly,base,7,239.74,4,3,34.25
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,pancakeswap,ethereum,52,7530.34,6,5,144.81
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,sushiswap,base,4,12.41,2,2,3.1
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,shibaswap,ethereum,3,146.78,1,1,48.93
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,fluid,arbitrum,5,9111.16,2,2,1822.23
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,fluid,base,1,244.08,1,1,244.08
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,uniswap,ethereum,822,1248199.54,66,67,1524.05
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,uniswap,base,194,19588.61,19,19,100.97
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,1inch-LOP,base,141,25385.53,12,9,180.04
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,kyberswap,ethereum,2,239.75,1,1,119.88
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,pancakeswap,base,61,26626.69,8,6,436.5
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,fraxswap,ethereum,1,502,1,1,502
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,baseswap,base,1,6.94,1,1,6.94
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,curve,ethereum,87,279850.5,21,17,3216.67
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,uniswap,polygon,1,23.1,1,1,23.1
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,defiswap,ethereum,3,30.11,2,1,10.04
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,maverick,base,1,13.12,1,1,13.12
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-13,maverick,ethereum,12,603.58,2,2,50.3
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,sushiswap,ethereum,37,5109.22,9,12,138.09
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,pancakeswap,base,4,353.72,4,3,88.43
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,pancakeswap,arbitrum,2,2485.67,2,1,1242.84
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,pancakeswap,ethereum,18,2473.68,5,3,137.43
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,uniswap,arbitrum,5,8254.6,3,3,1650.92
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,uniswap,base,13,2826.4,5,9,217.42
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,uniswap,ethereum,729,407646.57,82,92,579.04
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,sushiswap,polygon,1,16.16,1,1,16.16
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,uniswap,polygon,5,5471.26,2,3,1094.25
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,defiswap,ethereum,1,4.21,1,1,4.21
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,camelot,arbitrum,6,1061.82,4,3,176.97
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,fraxswap,ethereum,48,6974.71,1,1,145.31
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,quickswap,polygon,1,19.69,1,1,19.69
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,curve,ethereum,178,124989.07,23,24,702.19
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,maverick,ethereum,17,1043.54,2,2,61.38
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,velodrome,optimism,2,174.84,2,2,87.42
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,uniswap,optimism,2,56.73,2,1,28.37
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,dodo,ethereum,1,84.8,1,1,84.8
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,1inch-LOP,base,1,46.15,1,1,46.15
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,2026-04-12,aerodrome,base,20,15968.75,6,6,798.44
